,index,table_name
0,nifty_50,mstr_nse_nifty_50
1,nifty_next_50,mstr_nse_nifty_next_50
2,nifty_100,mstr_nse_nifty_100
3,nifty_200,mstr_nse_nifty_200
4,nifty_500,mstr_nse_nifty_500
5,nifty_midcap_50,mstr_nse_nifty_midcap_50
6,nifty_midcap_100,mstr_nse_nifty_midcap_100
7,nifty_smallcap_100,mstr_nse_nifty_smallcap_100
8,india_vix,mstr_nse_india_vix
9,nifty_midcap_150,mstr_nse_nifty_midcap_150
10,nifty_smallcap_50,mstr_nse_nifty_smallcap_50
11,nifty_smallcap_250,mstr_nse_nifty_smallcap_250
12,nifty_midsmallcap_400,mstr_nse_nifty_midsmallcap_400
13,nifty500_multicap_50:25:25,mstr_nse_nifty500_multicap_50:25:25
14,nifty_largemidcap_250,mstr_nse_nifty_largemidcap_250
15,nifty_midcap_select,mstr_nse_nifty_midcap_select
16,nifty_total_market,mstr_nse_nifty_total_market
17,nifty_microcap_250,mstr_nse_nifty_microcap_250
18,nifty_bank,mstr_nse_nifty_bank
19,nifty_auto,mstr_nse_nifty_auto
20,nifty_financial_services,mstr_nse_nifty_financial_services
21,nifty_financial_services_25/50,mstr_nse_nifty_financial_services_25/50
22,nifty_fmcg,mstr_nse_nifty_fmcg
23,nifty_it,mstr_nse_nifty_it
24,nifty_media,mstr_nse_nifty_media
25,nifty_metal,mstr_nse_nifty_metal
26,nifty_pharma,mstr_nse_nifty_pharma
27,nifty_psu_bank,mstr_nse_nifty_psu_bank
28,nifty_private_bank,mstr_nse_nifty_private_bank
29,nifty_realty,mstr_nse_nifty_realty
30,nifty_healthcare_index,mstr_nse_nifty_healthcare_index
31,nifty_consumer_durables,mstr_nse_nifty_consumer_durables
32,nifty_oil_&_gas,mstr_nse_nifty_oil_and_gas
33,nifty_midsmall_healthcare,mstr_nse_nifty_midsmall_healthcare
34,nifty_dividend_opportunities_50,mstr_nse_nifty_dividend_opportunities_50
35,nifty_growth_sectors_15,mstr_nse_nifty_growth_sectors_15
36,nifty100_quality_30,mstr_nse_nifty100_quality_30
37,nifty50_value_20,mstr_nse_nifty50_value_20
38,nifty50_tr_2x_leverage,mstr_nse_nifty50_tr_2x_leverage
39,nifty50_pr_2x_leverage,mstr_nse_nifty50_pr_2x_leverage
40,nifty50_tr_1x_inverse,mstr_nse_nifty50_tr_1x_inverse
41,nifty50_pr_1x_inverse,mstr_nse_nifty50_pr_1x_inverse
42,nifty50_dividend_points,mstr_nse_nifty50_dividend_points
43,nifty_alpha_50,mstr_nse_nifty_alpha_50
44,nifty50_equal_weight,mstr_nse_nifty50_equal_weight
45,nifty100_equal_weight,mstr_nse_nifty100_equal_weight
46,nifty100_low_volatility_30,mstr_nse_nifty100_low_volatility_30
47,nifty200_quality_30,mstr_nse_nifty200_quality_30
48,nifty_alpha_low_volatility_30,mstr_nse_nifty_alpha_low_volatility_30
49,nifty200_momentum_30,mstr_nse_nifty200_momentum_30
50,nifty_midcap150_quality_50,mstr_nse_nifty_midcap150_quality_50
51,nifty200_alpha_30,mstr_nse_nifty200_alpha_30
52,nifty_midcap150_momentum_50,mstr_nse_nifty_midcap150_momentum_50
53,nifty_commodities,mstr_nse_nifty_commodities
54,nifty_india_consumption,mstr_nse_nifty_india_consumption
55,nifty_cpse,mstr_nse_nifty_cpse
56,nifty_energy,mstr_nse_nifty_energy
57,nifty_infrastructure,mstr_nse_nifty_infrastructure
58,nifty100_liquid_15,mstr_nse_nifty100_liquid_15
59,nifty_midcap_liquid_15,mstr_nse_nifty_midcap_liquid_15
60,nifty_mnc,mstr_nse_nifty_mnc
61,nifty_pse,mstr_nse_nifty_pse
62,nifty_services_sector,mstr_nse_nifty_services_sector
63,nifty100_esg_sector_leaders,mstr_nse_nifty100_esg_sector_leaders
64,nifty_india_digital,mstr_nse_nifty_india_digital
65,nifty100_esg,mstr_nse_nifty100_esg
66,nifty_india_manufacturing,mstr_nse_nifty_india_manufacturing
67,nifty_india_corporate_group_index___tata_group_25%_cap,mstr_nse_nifty_india_corporate_group_index___tata_group_25%_cap
68,nifty500_multicap_india_manufacturing_50:30:20,mstr_nse_nifty500_multicap_india_manufacturing_50:30:20
69,nifty500_multicap_infrastructure_50:30:20,mstr_nse_nifty500_multicap_infrastructure_50:30:20
70,nifty_8_13_yr_g_sec,mstr_nse_nifty_8_13_yr_g_sec
71,nifty_10_yr_benchmark_g_sec,mstr_nse_nifty_10_yr_benchmark_g_sec
72,nifty_10_yr_benchmark_g_sec_(clean_price),mstr_nse_nifty_10_yr_benchmark_g_sec_(clean_price)
73,nifty_4_8_yr_g_sec_index,mstr_nse_nifty_4_8_yr_g_sec_index
74,nifty_11_15_yr_g_sec_index,mstr_nse_nifty_11_15_yr_g_sec_index
75,nifty_15_yr_and_above_g_sec_index,mstr_nse_nifty_15_yr_and_above_g_sec_index
76,nifty_composite_g_sec_index,mstr_nse_nifty_composite_g_sec_index
